time; o_metric; dfl_metric; v_metric; fit_cluster
0;  0.999898; 0.68444; 1443.75; 0
0.016;  0.999888; 0.481131; 289.111; 0
0.032;  0.999243; 0.449284; 57.9103; 0
0.048;  0.999243; 0.443395; 11.9621; 0
0.064;  0.998878; 0.442246; 2.47898; 0
0.08;  0.998322; 0.442073; 0.580508; 0
0.096;  0.998122; 0.442109; 0.200409; 0
0.112;  0.997849; 0.442206; 0.128427; 0
0.128;  0.997614; 0.442331; 0.114108; 0
0.144;  0.997238; 0.442478; 0.109505; 0
0.16;  0.996889; 0.442645; 0.109313; 0
0.176;  0.996784; 0.442832; 0.107464; 0
0.192;  0.996305; 0.443038; 0.111943; 0
0.208;  0.996052; 0.443261; 0.109805; 0
0.224;  0.99569; 0.443503; 0.10875; 0
0.24;  0.995129; 0.443763; 0.108083; 0
0.256;  0.994418; 0.44404; 0.110374; 0
0.272;  0.99381; 0.444334; 0.10822; 0
0.288;  0.993441; 0.44464; 0.11001; 0
0.304;  0.993157; 0.444959; 0.109081; 0
0.32;  0.992676; 0.44529; 0.108513; 0
0.336;  0.992072; 0.44563; 0.111489; 0
0.352;  0.991743; 0.445982; 0.108198; 0
0.368;  0.991076; 0.446343; 0.108338; 0
0.384;  0.99066; 0.446708; 0.106065; 0
0.4;  0.989766; 0.447088; 0.105872; 0
0.416;  0.989442; 0.44747; 0.102502; 0
0.432;  0.988869; 0.447865; 0.10158; 0
0.448;  0.988011; 0.448265; 0.101808; 0
0.464;  0.987749; 0.448666; 0.0996716; 0
0.48;  0.987024; 0.449078; 0.0989934; 0
0.496;  0.986175; 0.449487; 0.0945391; 0
0.512;  0.985866; 0.449899; 0.0928832; 0
0.528;  0.985579; 0.450321; 0.0866681; 0
0.544;  0.984588; 0.450744; 0.0873856; 0
0.56;  0.984075; 0.450276; 0.073709; 0
0.576;  0.983451; 0.449627; 0.0696194; 0
0.592;  0.982931; 0.448966; 0.063893; 0
0.608;  0.982864; 0.448731; 0.226919; 0
0.624;  0.979227; 0.448327; 0.217254; 0
0.64;  0.980027; 0.44818; 0.394805; 0
0.656;  0.979599; 0.448102; 0.578164; 0
0.672;  0.974562; 0.448036; 0.731431; 0
0.688;  0.96966; 0.447942; 0.744739; 0
0.704;  0.964242; 0.447838; 0.717678; 0
0.72;  0.959898; 0.447748; 0.653889; 0
0.736;  0.952657; 0.447617; 0.680171; 0
0.752;  0.945064; 0.44747; 0.660713; 0
0.768;  0.937374; 0.447319; 0.645283; 0
0.784;  0.929279; 0.447161; 0.640066; 0
0.8;  0.920996; 0.446999; 0.638525; 0
0.816;  0.912277; 0.446842; 0.622509; 0
0.832;  0.903369; 0.446677; 0.610308; 0
0.848;  0.894241; 0.446504; 0.600602; 0
0.864;  0.88529; 0.446325; 0.592334; 0
0.88;  0.875947; 0.446141; 0.583603; 0
0.896;  0.866776; 0.445958; 0.581055; 0
0.912;  0.857741; 0.44578; 0.578775; 0
0.928;  0.848354; 0.445588; 0.569577; 0
