time; o_metric; dfl_metric; v_metric; fit_cluster
0;  1; 0.682441; 49.0839; 33.4969
0.016;  0.999985; 0.679303; 9.32675; 6.33559
0.032;  0.999113; 0.678535; 1.7759; 1.20394
0.048;  0.9926; 0.678327; 0.187278; 0.126096
0.064;  0.986698; 0.67823; 0.0721962; 0.0483143
0.08;  0.978886; 0.678158; 0.0608402; 0.0403882
0.096;  0.9705; 0.678197; 0.114198; 0.0751638
0.112;  0.958201; 0.67819; 0.130863; 0.0850402
0.128;  0.949319; 0.678445; 0.196641; 0.126649
0.144;  0.936576; 0.678563; 0.358704; 0.227966
0.16;  0.923806; 0.678648; 0.269905; 0.169214
0.176;  0.910978; 0.678735; 0.270788; 0.167432
0.192;  0.898263; 0.678821; 0.280461; 0.171014
0.208;  0.8864; 0.678889; 0.275986; 0.166079
0.224;  0.875158; 0.679052; 0.230576; 0.137026
0.24;  0.864356; 0.679252; 0.213258; 0.125207
0.256;  0.852983; 0.679372; 0.226945; 0.131513
0.272;  0.841183; 0.679463; 0.233571; 0.133498
0.288;  0.829352; 0.679561; 0.230527; 0.129924
0.304;  0.817748; 0.679647; 0.233175; 0.129594
0.32;  0.80637; 0.679756; 0.228438; 0.125215
0.336;  0.795966; 0.679948; 0.198196; 0.107267
0.352;  0.784681; 0.68015; 0.192763; 0.102878
0.368;  0.773584; 0.68026; 0.211182; 0.111132
0.384;  0.762913; 0.680324; 0.221394; 0.11491
0.4;  0.752723; 0.680368; 0.221102; 0.113233
0.416;  0.743345; 0.680411; 0.213862; 0.108167
0.432;  0.734384; 0.680455; 0.212805; 0.106342
0.448;  0.726482; 0.680494; 0.214654; 0.106118
0.464;  0.718413; 0.680559; 0.204165; 0.099821
0.48;  0.709874; 0.680638; 0.192838; 0.093173
0.496;  0.699498; 0.680742; 0.184807; 0.0880012
0.512;  0.687549; 0.680879; 0.181098; 0.0847788
0.528;  0.679085; 0.681517; 0.174705; 0.0808548
0.544;  0.667847; 0.681667; 0.161586; 0.0735619
0.56;  0.657265; 0.681653; 0.170924; 0.0765785
0.576;  0.645476; 0.681762; 0.171164; 0.0753224
0.592;  0.633489; 0.681889; 0.168204; 0.0726592
0.608;  0.621255; 0.682045; 0.163731; 0.0693767
0.624;  0.609294; 0.682179; 0.157967; 0.0656588
0.64;  0.597318; 0.682374; 0.158538; 0.0646193
0.656;  0.584914; 0.682574; 0.156273; 0.0623917
0.672;  0.572744; 0.68276; 0.155421; 0.060777
0.688;  0.561388; 0.682812; 0.153939; 0.0590082
0.704;  0.551793; 0.682715; 0.172704; 0.0650606
0.72;  0.541822; 0.6827; 0.164692; 0.0609199
0.736;  0.531464; 0.682744; 0.157441; 0.057128
0.752;  0.521131; 0.682842; 0.149487; 0.0531951
0.768;  0.511309; 0.682963; 0.142259; 0.0496776
0.784;  0.501488; 0.683073; 0.141694; 0.0485378
0.8;  0.492475; 0.683174; 0.143329; 0.0482224
0.816;  0.483733; 0.683299; 0.143866; 0.0475528
0.832;  0.475426; 0.683428; 0.145678; 0.0473336
0.848;  0.467887; 0.683604; 0.141273; 0.045186
0.864;  0.462804; 0.683794; 0.142914; 0.045227
0.88;  0.458643; 0.684013; 0.14121; 0.0443001
0.896;  0.454202; 0.684259; 0.142316; 0.0442307
0.912;  0.450458; 0.684522; 0.141556; 0.0436487
0.928;  0.446779; 0.684828; 0.136547; 0.0417788
0.944;  0.443083; 0.685157; 0.128213; 0.038923
0.96;  0.439547; 0.685523; 0.122289; 0.0368481
0.976;  0.435637; 0.685919; 0.114546; 0.0342277
0.992;  0.431868; 0.686329; 0.105371; 0.0312324
1.008;  0.42832; 0.686779; 0.102469; 0.0301423
1.024;  0.424967; 0.687242; 0.0950287; 0.0277536
1.04;  0.421244; 0.687729; 0.0900352; 0.0260834
1.056;  0.420819; 0.688194; 0.101793; 0.0294796
1.072;  0.42073; 0.688697; 0.11007; 0.0318935
1.088;  0.42077; 0.689242; 0.114061; 0.033079
1.104;  0.420722; 0.689838; 0.108759; 0.0315651
1.12;  0.42095; 0.690475; 0.109998; 0.0319714
1.136;  0.421053; 0.691135; 0.110843; 0.0322558
1.152;  0.420917; 0.691831; 0.113858; 0.0331559
1.168;  0.420798; 0.692565; 0.113267; 0.0330093
1.184;  0.420576; 0.693301; 0.114953; 0.0335187
1.2;  0.420487; 0.694073; 0.109568; 0.0319774
1.216;  0.420167; 0.694869; 0.108544; 0.0316907
1.232;  0.419572; 0.695669; 0.101396; 0.0295957
1.248;  0.419039; 0.696508; 0.099462; 0.0290294
1.264;  0.41831; 0.697361; 0.0996003; 0.0290547
1.28;  0.417445; 0.698225; 0.0998266; 0.0290965
1.296;  0.416542; 0.699091; 0.0926095; 0.026968
1.312;  0.415928; 0.699984; 0.0835141; 0.0243145
1.328;  0.415108; 0.700882; 0.084291; 0.0245238
1.344;  0.414819; 0.701782; 0.0609406; 0.0177406
1.36;  0.414726; 0.702721; 0.0575012; 0.016758
1.376;  0.414761; 0.703647; 0.0529864; 0.0154638
1.392;  0.414873; 0.704564; 0.0517041; 0.0151133
1.408;  0.414509; 0.70549; 0.0493658; 0.0144361
1.424;  0.413769; 0.706412; 0.0434687; 0.0127055
1.44;  0.412712; 0.707334; 0.0436666; 0.0127474
1.456;  0.411813; 0.708251; 0.0431057; 0.0125725
1.472;  0.411617; 0.709166; 0.0413703; 0.0120762
1.488;  0.41147; 0.710103; 0.0381281; 0.0111405
1.504;  0.411462; 0.711023; 0.0344734; 0.0100855
