time; o_metric; dfl_metric; v_metric; fit_cluster
0;  1; 0.49994; 1442.89; 721.36
0.016;  0.990983; 0.351509; 288.408; 100.464
0.032;  0.982003; 0.328282; 57.5081; 18.5391
0.048;  0.973988; 0.324001; 11.3296; 3.57533
0.064;  0.965426; 0.323182; 2.08794; 0.651456
0.08;  0.957042; 0.323048; 0.238941; 0.0738735
0.096;  0.949975; 0.323051; 0.12185; 0.0373945
0.112;  0.943144; 0.323087; 0.201925; 0.0615302
0.128;  0.93676; 0.323132; 0.215331; 0.0651802
0.144;  0.931015; 0.323183; 0.221738; 0.0667184
0.16;  0.925835; 0.323238; 0.223992; 0.067033
0.176;  0.91983; 0.323297; 0.222806; 0.0662579
0.192;  0.914294; 0.323358; 0.223995; 0.0662229
0.208;  0.908788; 0.323425; 0.224348; 0.0659415
0.224;  0.903787; 0.323493; 0.21723; 0.0635111
0.24;  0.898997; 0.323564; 0.222806; 0.0648104
0.256;  0.89498; 0.323638; 0.223281; 0.0646732
0.272;  0.890874; 0.323712; 0.219722; 0.0633648
0.288;  0.886903; 0.323791; 0.222926; 0.064018
0.304;  0.882863; 0.323873; 0.221501; 0.063335
0.32;  0.879139; 0.323954; 0.219604; 0.0625435
0.336;  0.876568; 0.324039; 0.222095; 0.0630845
0.352;  0.873402; 0.324129; 0.221738; 0.0627729
0.368;  0.8707; 0.324218; 0.221858; 0.0626297
0.384;  0.867844; 0.324303; 0.215452; 0.0606376
0.4;  0.865109; 0.324392; 0.218545; 0.0613312
0.416;  0.862526; 0.324483; 0.21866; 0.0611975
0.432;  0.860196; 0.324575; 0.218198; 0.0609204
0.448;  0.858455; 0.324668; 0.217114; 0.0605123
0.464;  0.85635; 0.324763; 0.21263; 0.0591348
0.48;  0.854773; 0.324858; 0.215229; 0.0597649
0.496;  0.852862; 0.324954; 0.21417; 0.0593554
0.512;  0.851224; 0.325052; 0.215356; 0.0595872
0.528;  0.850393; 0.32515; 0.213105; 0.0589245
0.544;  0.849005; 0.325246; 0.213823; 0.0590441
0.56;  0.84779; 0.325342; 0.21261; 0.0586425
0.576;  0.846624; 0.32544; 0.212847; 0.0586446
0.592;  0.845491; 0.325539; 0.213922; 0.05888
0.608;  0.84492; 0.325641; 0.21134; 0.0581483
0.624;  0.844045; 0.325743; 0.216182; 0.0594376
0.64;  0.843094; 0.325845; 0.215489; 0.0591988
0.656;  0.842437; 0.325945; 0.21098; 0.0579326
0.672;  0.84144; 0.326044; 0.207035; 0.0567993
0.688;  0.840754; 0.326143; 0.210366; 0.0576838
0.704;  0.840186; 0.326242; 0.207503; 0.0568775
0.72;  0.839347; 0.326346; 0.209436; 0.0573682
0.736;  0.838361; 0.326449; 0.210717; 0.0576695
0.752;  0.837302; 0.326554; 0.217707; 0.0595265
0.768;  0.836321; 0.326658; 0.210364; 0.0574694
0.784;  0.835465; 0.326702; 0.212022; 0.0578711
0.8;  0.834836; 0.326702; 0.214503; 0.0585043
0.816;  0.833956; 0.326707; 0.211068; 0.0575074
0.832;  0.832983; 0.326712; 0.211433; 0.0575406
0.848;  0.832723; 0.326718; 0.208113; 0.0566204
0.864;  0.831692; 0.326726; 0.212989; 0.0578767
0.88;  0.830959; 0.326729; 0.210352; 0.0571101
0.896;  0.830317; 0.326736; 0.211905; 0.0574887
0.912;  0.829603; 0.326744; 0.209304; 0.0567356
0.928;  0.828873; 0.326751; 0.211661; 0.0573254
0.944;  0.828783; 0.32676; 0.210715; 0.0570645
0.96;  0.828556; 0.326769; 0.208818; 0.0565366
0.976;  0.828478; 0.326777; 0.213799; 0.0578812
0.992;  0.82849; 0.326784; 0.20537; 0.0556012
1.008;  0.828351; 0.326792; 0.213442; 0.0577784
1.024;  0.827934; 0.326801; 0.20858; 0.0564355
1.04;  0.827698; 0.326815; 0.210027; 0.0568132
1.056;  0.827368; 0.32683; 0.211235; 0.0571197
1.072;  0.827611; 0.326848; 0.211367; 0.0571754
1.088;  0.827755; 0.326858; 0.205622; 0.0556327
1.104;  0.828076; 0.326874; 0.20814; 0.0563386
1.12;  0.827971; 0.326891; 0.211478; 0.0572379
1.136;  0.82821; 0.326908; 0.208502; 0.0564518
1.152;  0.828007; 0.326926; 0.208024; 0.0563116
1.168;  0.828061; 0.326938; 0.201815; 0.0546363
1.184;  0.828484; 0.326957; 0.20599; 0.0557984
1.2;  0.828964; 0.326973; 0.211909; 0.0574378
1.216;  0.829327; 0.326991; 0.21204; 0.0575015
1.232;  0.829441; 0.327015; 0.210162; 0.0570041
1.248;  0.82946; 0.327032; 0.205399; 0.0557167
1.264;  0.829443; 0.327055; 0.206842; 0.0561107
1.28;  0.830108; 0.327076; 0.203271; 0.05519
1.296;  0.830539; 0.327101; 0.209798; 0.056996
1.312;  0.830548; 0.327126; 0.211005; 0.0573288
1.328;  0.831013; 0.327154; 0.207942; 0.056533
1.344;  0.831195; 0.32718; 0.207558; 0.0564454
1.36;  0.832044; 0.327207; 0.208024; 0.0566346
1.376;  0.832121; 0.327232; 0.20813; 0.056673
1.392;  0.832993; 0.327258; 0.208138; 0.0567392
1.408;  0.833065; 0.327289; 0.206145; 0.0562061
1.424;  0.833072; 0.327313; 0.21037; 0.0573628
1.44;  0.833405; 0.327342; 0.203393; 0.0554874
1.456;  0.834146; 0.32737; 0.204576; 0.0558644
1.472;  0.834569; 0.327406; 0.208902; 0.0570809
1.488;  0.834556; 0.327441; 0.207832; 0.0567939
1.504;  0.834828; 0.327474; 0.210753; 0.0576166
1.52;  0.835294; 0.327512; 0.207588; 0.0567896
1.536;  0.835988; 0.327551; 0.206397; 0.0565174
1.552;  0.836702; 0.327588; 0.206622; 0.0566336
1.568;  0.83734; 0.327529; 0.208238; 0.0571098
1.584;  0.837843; 0.327451; 0.21226; 0.0582341
1.6;  0.837764; 0.327374; 0.208021; 0.0570521
1.616;  0.838548; 0.327303; 0.208885; 0.0573305
1.632;  0.839116; 0.327233; 0.208712; 0.0573095
1.648;  0.839977; 0.32717; 0.210851; 0.0579451
1.664;  0.840467; 0.327103; 0.210158; 0.0577764
1.68;  0.840469; 0.327035; 0.21217; 0.0583175
1.696;  0.841021; 0.326976; 0.19916; 0.0547678
1.712;  0.841309; 0.326912; 0.203155; 0.0558744
1.728;  0.841684; 0.326844; 0.208615; 0.0573897
1.744;  0.841802; 0.326778; 0.208467; 0.0573457
1.76;  0.842195; 0.326723; 0.204431; 0.0562521
1.776;  0.84269; 0.326663; 0.2066; 0.056872
1.792;  0.843289; 0.326605; 0.209083; 0.0575861
1.808;  0.843689; 0.326555; 0.208965; 0.057572
1.824;  0.844453; 0.326499; 0.207903; 0.0573215
1.84;  0.845137; 0.326448; 0.203963; 0.0562721
1.856;  0.846166; 0.326405; 0.205183; 0.0566701
1.872;  0.847415; 0.326364; 0.203035; 0.0561524
1.888;  0.847884; 0.326307; 0.202311; 0.0559735
1.904;  0.848556; 0.326255; 0.206595; 0.0571951
1.92;  0.84932; 0.326214; 0.205868; 0.0570379
1.936;  0.849637; 0.326168; 0.201794; 0.0559221
1.952;  0.850297; 0.326129; 0.205882; 0.0570923
1.968;  0.850827; 0.326096; 0.204431; 0.0567197
1.984;  0.85145; 0.326066; 0.208829; 0.057977
2;  0.852156; 0.326031; 0.206563; 0.0573892
2.016;  0.852371; 0.325996; 0.204236; 0.0567511
2.032;  0.852819; 0.325966; 0.201475; 0.0560081
2.048;  0.853593; 0.325931; 0.20671; 0.0575094
2.064;  0.85413; 0.325908; 0.202406; 0.0563435
2.08;  0.854647; 0.325875; 0.207298; 0.0577341
2.096;  0.856502; 0.325863; 0.200936; 0.0560817
2.112;  0.856304; 0.325833; 0.206015; 0.0574808
2.128;  0.856432; 0.325809; 0.206968; 0.0577509
2.144;  0.857819; 0.325797; 0.199619; 0.0557885
2.16;  0.858783; 0.325779; 0.201934; 0.0564957
2.176;  0.85954; 0.325757; 0.209181; 0.0585709
2.192;  0.860554; 0.325744; 0.205063; 0.0574832
2.208;  0.860862; 0.325722; 0.203768; 0.057137
2.224;  0.861833; 0.325704; 0.205994; 0.057823
2.24;  0.862559; 0.325692; 0.203113; 0.0570603
2.256;  0.862965; 0.325677; 0.204307; 0.0574201
2.272;  0.864007; 0.325666; 0.205495; 0.0578219
2.288;  0.865036; 0.325662; 0.201393; 0.0567343
2.304;  0.865619; 0.325652; 0.203379; 0.0573306
2.32;  0.866107; 0.325639; 0.209828; 0.0591796
2.336;  0.866501; 0.325634; 0.203149; 0.0573208
2.352;  0.866932; 0.325626; 0.208231; 0.0587828
2.368;  0.866719; 0.325614; 0.206814; 0.0583661
