time; gps_x; gps_y; gps_z; acc_0; acc_1; acc_2; right_enc; left_enc; odo_acc_x; odo_acc_y; odo_acc_heading; odo_enc_x; odo_enc_y; odo_enc_heading
0.016;  nan; nan; nan; -0.0174139; -7.8422; 9.79202; 0.0072; -0.0072; -0.0020076; 4.45796e-06; 0; 0; 0; 0.00505263
0.032;  nan; nan; nan; 0.000157199; 8.24754; 9.57853; 0.1044; 0.09; -0.00190384; 8.87567e-06; 0; 0.00194398; 9.82227e-06; 0.00505263
0.048;  nan; nan; nan; 0.000158149; -4.38398; 9.78795; 0.198; 0.1836; -0.00292237; 1.32529e-05; 0; 0.00381595; 1.92808e-05; 0.00505263
0.064;  nan; nan; nan; 0.000107586; 4.76009; 9.75453; 0.3096; 0.3132; -0.00272232; 1.76026e-05; 0; 0.00622792; 3.14677e-05; -0.00126316
0.08;  nan; nan; nan; 9.95245e-05; 0.135932; 9.81003; 0.4068; 0.4032; -0.00248747; 2.19268e-05; 0; 0.00809992; 2.9103e-05; 0.00126316
0.096;  nan; nan; nan; 5.15729e-05; 0.0970974; 9.81246; 0.5112; 0.5148; -0.00222776; 2.62378e-05; 0; 0.0102599; 3.18314e-05; -0.00126316
0.112;  nan; nan; nan; 4.29571e-05; 0.0578946; 9.81257; 0.612; 0.5976; -0.00195323; 3.05378e-05; 0; 0.0120959; 2.95123e-05; 0.00505263
0.128;  nan; nan; nan; 3.56148e-05; 0.0179972; 9.81252; 0.702; 0.7128; -0.00167409; 3.48287e-05; 0; 0.0141479; 3.98802e-05; -0.00378947
0.144;  nan; nan; nan; 2.92912e-05; -0.0220075; 9.8123; 0.8028; 0.81; -0.00140059; 3.91121e-05; 0; 0.0161279; 3.23771e-05; -0.00252632
0.16;  nan; nan; nan; 4.90925e-05; -0.0217829; 9.81143; 0.9036; 0.8892; -0.00113267; 4.33829e-05; 0; 0.0179279; 2.78297e-05; 0.00505263
0.176;  nan; nan; nan; -8.34056e-06; -0.0210432; 9.80906; 1.0116; 1.008; -0.00087013; 4.76559e-05; 0; 0.0201958; 3.92891e-05; 0.00126316
0.192;  nan; nan; nan; 1.65549e-05; -0.0198954; 9.81052; 1.098; 1.1016; -0.000612685; 5.19246e-05; 0; 0.0219958; 4.15627e-05; -0.00126316
0.208;  nan; nan; nan; 1.31769e-05; -0.018295; 9.81042; 1.206; 1.1916; -0.000359924; 5.619e-05; 0; 0.0239758; 3.90617e-05; 0.00505263
0.224;  nan; nan; nan; 1.02126e-05; -0.016288; 9.81033; 1.3068; 1.2996; -0.000111332; 6.04527e-05; 0; 0.0260638; 4.96115e-05; 0.00252632
0.24;  nan; nan; nan; 7.64343e-06; -0.0139065; 9.81027; 1.3968; 1.3968; 0.000133699; 6.47135e-05; 0; 0.0279358; 5.43408e-05; -1.9082e-17
0.256;  nan; nan; nan; 4.14274e-06; -0.0112029; 9.81022; 1.5192; 1.5084; 0.000375863; 6.89732e-05; 0; 0.0302758; 5.43408e-05; 0.00378947
0.272;  nan; nan; nan; -1.98523e-06; -0.00821345; 9.81018; 1.6128; 1.6236; 0.000615923; 7.32334e-05; 0; 0.0323638; 6.22532e-05; -0.00378947
0.288;  nan; nan; nan; -8.07269e-06; -0.0049846; 9.81015; 1.7064; 1.6992; 0.000854708; 7.74957e-05; 0; 0.0340558; 5.58414e-05; 0.00252632
0.304;  nan; nan; nan; -1.4057e-05; -0.00156051; 9.81012; 1.8; 1.8072; 0.00109309; 8.17616e-05; 0; 0.0360718; 6.09345e-05; -0.00252632
0.32;  nan; nan; nan; -1.98795e-05; 0.00201534; 9.8101; 1.9008; 1.9332; 0.00133199; 8.60326e-05; 0; 0.0383398; 5.52048e-05; -0.0113684
0.336;  nan; nan; nan; -2.5489e-05; 0.00571258; 9.81008; 1.9908; 2.0088; 0.00157236; 9.03101e-05; 0; 0.0399957; 3.63791e-05; -0.00631579
0.352;  nan; nan; nan; -2.93359e-05; 0.00944202; 9.81007; 2.1132; 2.0808; 0.00181514; 9.45951e-05; 0; 0.0419396; 2.41013e-05; 0.0113684
0.368;  nan; nan; nan; -3.03425e-05; 0.0131913; 9.81005; 2.2176; 2.1852; 0.0020613; 9.88879e-05; 0; 0.0440275; 4.7838e-05; 0.0113684
