time; loc_x; loc_z_; theta; metric_gps; metric_acc; metric_enc
0;  -2.9; 1.14189e-12; -90.0002; 0; 9.53674e-08; 3.3819e+19
0.016;  -2.9; 1.14189e-12; -90.0002; 0; 1.90735e-07; 3.3819e+19
0.032;  -2.9; 1.14189e-12; -90.0002; 0; 2.86102e-07; 3.3819e+19
0.048;  -2.9; 1.14189e-12; -90.0002; 0; 3.8147e-07; 3.3819e+19
0.064;  -2.9; 1.14189e-12; -90.0002; 0; 4.76837e-07; 3.3819e+19
0.08;  -2.89113; 1.26154e-08; -90.0007; 0; 0.00887289; 3.3819e+19
0.096;  -2.89113; 1.26154e-08; -90.0007; 0; 0.0177453; 3.3819e+19
0.112;  -2.89113; 1.26154e-08; -90.0007; 0; 0.0266177; 3.3819e+19
0.128;  -2.89113; 1.26154e-08; -90.0007; 0; 0.0354901; 3.3819e+19
0.144;  -2.89113; 1.26154e-08; -90.0007; 0; 0.0443625; 3.3819e+19
0.16;  -2.88108; -1.65206e-07; -89.9986; 0; 0.0632831; 3.3819e+19
0.176;  -2.88108; -1.65206e-07; -89.9986; 0; 0.0822037; 3.3819e+19
0.192;  -2.88108; -1.65206e-07; -89.9986; 0; 0.101124; 3.3819e+19
0.208;  -2.88108; -1.65206e-07; -89.9986; 0; 0.120045; 3.3819e+19
0.224;  -2.88108; -1.65206e-07; -89.9986; 0; 0.138965; 3.3819e+19
0.24;  -2.87103; -4.76365e-07; -89.9983; 0; 0.167934; 3.3819e+19
0.256;  -2.87103; -4.76365e-07; -89.9983; 0; 0.196902; 3.3819e+19
0.272;  -2.87103; -4.76365e-07; -89.9983; 0; 0.225871; 3.3819e+19
0.288;  -2.87103; -4.76365e-07; -89.9983; 0; 0.254839; 3.3819e+19
0.304;  -2.87103; -4.76365e-07; -89.9983; 0; 0.283808; 3.3819e+19
0.32;  -2.86098; -7.85035e-07; -89.9984; 0; 0.322824; 3.3819e+19
0.336;  -2.86098; -7.85035e-07; -89.9984; 0; 0.361841; 3.3819e+19
0.352;  -2.86098; -7.85035e-07; -89.9984; 0; 0.400857; 3.3819e+19
0.368;  -2.86098; -7.85035e-07; -89.9984; 0; 0.439873; 3.3819e+19
0.384;  -2.86098; -7.85035e-07; -89.9984; 0; 0.47889; 3.3819e+19
0.4;  -2.85094; -1.02468e-06; -89.9991; 0; 0.527954; 3.3819e+19
0.416;  -2.85094; -1.02468e-06; -89.9991; 0; 0.577019; 3.3819e+19
0.432;  -2.85094; -1.02468e-06; -89.9991; 0; 0.626083; 3.3819e+19
0.448;  -2.85094; -1.02468e-06; -89.9991; 0; 0.675148; 3.3819e+19
0.464;  -2.85094; -1.02468e-06; -89.9991; 0; 0.724212; 3.3819e+19
0.48;  -2.84089; -1.08026e-06; -90.0005; 0; 0.783325; 3.3819e+19
0.496;  -2.84089; -1.08026e-06; -90.0005; 0; 0.842437; 3.3819e+19
0.512;  -2.84089; -1.08026e-06; -90.0005; 0; 0.90155; 3.3819e+19
0.528;  -2.84089; -1.08026e-06; -90.0005; 0; 0.960662; 3.3819e+19
0.544;  -2.84089; -1.08026e-06; -90.0005; 0; 1.01977; 3.3819e+19
0.56;  -2.83084; -8.81149e-07; -90.002; 0; 1.08894; 3.3819e+19
0.576;  -2.83084; -8.81149e-07; -90.002; 0; 1.1581; 3.3819e+19
0.592;  -2.83084; -8.81149e-07; -90.002; 0; 1.22726; 3.3819e+19
0.608;  -2.83084; -8.81149e-07; -90.002; 0; 1.29642; 3.3819e+19
0.624;  -2.83084; -8.81149e-07; -90.002; 0; 1.36558; 3.3819e+19
0.64;  -2.82079; -4.38647e-07; -90.0031; 0; 1.44479; 3.3819e+19
0.656;  -2.82079; -4.38647e-07; -90.0031; 0; 1.52399; 3.3819e+19
0.672;  -2.82079; -4.38647e-07; -90.0031; 0; 1.6032; 3.3819e+19
0.688;  -2.82079; -4.38647e-07; -90.0031; 0; 1.68241; 3.3819e+19
0.704;  -2.82079; -4.38647e-07; -90.0031; 0; 1.76162; 3.3819e+19
0.72;  -2.81074; 1.53008e-07; -90.0035; 0; 1.85088; 3.3819e+19
0.736;  -2.81074; 1.53008e-07; -90.0035; 0; 1.94013; 3.3819e+19
0.752;  -2.81074; 1.53008e-07; -90.0035; 0; 2.02939; 3.3819e+19
0.768;  -2.81074; 1.53008e-07; -90.0035; 0; 2.11865; 3.3819e+19
0.784;  -2.81074; 1.53008e-07; -90.0035; 0; 2.2079; 3.3819e+19
0.8;  -2.8007; 7.61962e-07; -90.0034; 0; 2.30721; 3.3819e+19
0.816;  -2.8007; 7.61962e-07; -90.0034; 0; 2.40651; 3.3819e+19
0.832;  -2.8007; 7.61962e-07; -90.0034; 0; 2.50582; 3.3819e+19
0.848;  -2.8007; 7.61962e-07; -90.0034; 0; 2.60512; 3.3819e+19
0.864;  -2.8007; 7.61962e-07; -90.0034; 0; 2.70443; 3.3819e+19
0.88;  -2.79065; 1.32187e-06; -90.0029; 0; 2.81378; 3.3819e+19
0.896;  -2.79065; 1.32187e-06; -90.0029; 0; 2.92313; 3.3819e+19
0.912;  -2.79065; 1.32187e-06; -90.0029; 0; 3.03248; 3.3819e+19
0.928;  -2.79065; 1.32187e-06; -90.0029; 0; 3.14184; 3.3819e+19
0.944;  -2.79065; 1.32187e-06; -90.0029; 0; 3.25119; 3.3819e+19
0.96;  -2.7806; 1.72706e-06; -90.0017; 0; 3.37059; 3.3819e+19
0.976;  -2.7806; 1.72706e-06; -90.0017; 0; 3.48999; 3.3819e+19
0.992;  -2.7806; 1.72706e-06; -90.0017; 0; 3.60939; 3.3819e+19
1.008;  -2.7806; 1.72706e-06; -90.0017; 0.000599356; 3.72879; 3.3819e+19
1.024;  -2.7806; 1.72706e-06; -90.0017; 0.00119871; 3.84818; 3.3819e+19
1.04;  -2.77055; 1.88783e-06; -90.0001; 0.0106473; 3.97761; 3.3819e+19
1.056;  -2.77055; 1.88783e-06; -90.0001; 0.0200958; 4.10703; 3.3819e+19
1.072;  -2.77055; 1.88783e-06; -90.0001; 0.0295444; 4.23644; 3.3819e+19
1.088;  -2.77055; 1.88783e-06; -90.0001; 0.0389929; 4.36583; 3.3819e+19
1.104;  -2.77055; 1.88783e-06; -90.0001; 0.0484415; 4.49522; 3.3819e+19
1.12;  -2.7605; 1.79433e-06; -89.9989; 0.0679382; 4.63464; 3.3819e+19
1.136;  -2.7605; 1.79433e-06; -89.9989; 0.0874349; 4.77404; 3.3819e+19
1.152;  -2.7605; 1.79433e-06; -89.9989; 0.106932; 4.91343; 3.3819e+19
1.168;  -2.7605; 1.79433e-06; -89.9989; 0.126428; 5.05278; 3.3819e+19
1.184;  -2.7605; 1.79433e-06; -89.9989; 0.145925; 5.19211; 3.3819e+19
1.2;  -2.75046; 1.5212e-06; -89.9983; 0.17547; 5.34145; 3.3819e+19
1.216;  -2.75046; 1.5212e-06; -89.9983; 0.205014; 5.49075; 3.3819e+19
1.232;  -2.75046; 1.5212e-06; -89.9983; 0.234559; 5.64001; 3.3819e+19
1.248;  -2.75046; 1.5212e-06; -89.9983; 0.264104; 5.7892; 3.3819e+19
1.264;  -2.75046; 1.5212e-06; -89.9983; 0.293648; 5.93833; 3.3819e+19
1.28;  -2.74041; 1.20084e-06; -89.9983; 0.333241; 6.09744; 3.3819e+19
1.296;  -2.74041; 1.20084e-06; -89.9983; 0.372833; 6.25648; 3.3819e+19
1.312;  -2.74041; 1.20084e-06; -89.9983; 0.412426; 6.41542; 3.3819e+19
